Rep,CustomerName,SageId,RegionName,ShippingMethodRequested,DateExpected,OrderId,OrderLineId,SKU,Supplier,Protein,PackDetails,QuantityOrdered,OrderUOM,ShippedItems,ShippedLb,Price,BillingUOM,Rev,Cost,Base,ProfitMargin,Description,SKU_Desc
House House,Stong's Market Dunbar,STON06,Vancouver W,TRSM Delivery - Ground,2023-01-04,355051.0,1362987.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.04,57.55,Each,57.55,30.46,57.55,0.47072111207645523,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
House House,Stong's Market Dunbar,STON06,Vancouver W,TRSM Delivery - Ground,2023-01-04,355051.0,1362988.0,58122301,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.0,57.55,Each,57.55,30.27,57.55,0.4740225890529974,"Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)","58122301 - Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)"
House House,Cleveland Meats,CLEV02,S2S Squamish,TRSM Delivery - Ground,2023-01-04,355128.0,1363459.0,58122287,TRSM,Charcuterie,~0.6 -0.8 Lbs pk/ 8pc,5.0,Pack,5.0,4.49,22.7,Pound,101.923,81.5384,108.8825,0.20000000000000007,Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM
House House,Cleveland Meats,CLEV02,S2S Squamish,TRSM Delivery - Ground,2023-01-04,355128.0,1363461.0,58122256,TRSM,Charcuterie,"~2lbs, 14 pc/pck",5.0,Pack,5.0,11.0,9.59,Pound,105.49,78.98,105.49,0.2513034410844629,Charcuterie Hot Smoked Pep Fresh TRSM,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM
House House,Cleveland Meats,CLEV02,S2S Squamish,TRSM Delivery - Ground,2023-01-04,355128.0,1363462.0,58122140,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",2.0,Pack,2.0,2.91,12.29,Pound,35.7639,28.6053,40.74,0.2001627339300244,"Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM","58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM"
Gian Linuzzi,Inn at Laurel Point,INNA01,Victoria,Island Point,2023-01-03,354981.0,1362759.0,58122166,TRSM,Charcuterie,~2lbs/pc,2.0,Pack,2.0,3.4,24.5,Pound,83.3,60.894,82.042,0.2689795918367347,Charcuterie Bison and Herb Salami Fresh TRSM,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM
Gian Linuzzi,Beach Fire Brewing,BEAC05,Campbell River,Clark - Ground,2023-01-03,354985.0,1362794.0,58122148,TRSM,Charcuterie,~2 Lbs,2.0,Each,2.0,3.86,18.5,Pound,71.41,49.022,66.0446,0.3135135135135135,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Jesse Croy,Kootenay Co-op - Kitchen,KOOT01,Int Castlegar,Clark - Ground,2024-04-04,396888.0,1527403.0,58122295,TRSM,Charcuterie,~2lb/pc,2.0,Pack,2.0,4.08,19.5,Pound,79.56,58.0992,78.2544,0.2697435897435897,Charcuterie Triple Fennel & Ale Salami Fresh TRSM,58122295 - Charcuterie Triple Fennel & Ale Salami Fresh TRSM
Jesse Croy,Quails' Gate Winery,QUAI01,Int Kelowna,Valley Fresh,2024-04-04,397020.0,1528085.0,58122120,TRSM,Charcuterie,~.5 Lbs,5.0,Pound,10.0,5.29,39.71,Pound,210.0659,156.0021,210.0659,0.2573659027952656,"Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM","58122120 - Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM"
Fraser Mittlestead,Vancouver Lawn & Tennis,VANC12,Vancouver W,TRSM Delivery - Ground,2024-04-05,396825.0,1528883.0,58122295,TRSM,Charcuterie,~2lb/pc,3.0,Pack,3.0,6.13,18.99,Pound,116.4087,87.2912,116.4087,0.2501316482359136,Charcuterie Triple Fennel & Ale Salami Fresh TRSM,58122295 - Charcuterie Triple Fennel & Ale Salami Fresh TRSM
Ian McHale,Outbound Station,OUTB01,S2S Squamish,TRSM Delivery - Ground,2024-04-05,396922.0,1528021.0,58122323,TRSM,Charcuterie,"2pc/pk, 2.1lb/cs, 12pk/cs",1.0,Case,1.0,2.6,49.99,Case,49.99,37.49,49.99,0.2500500100020004,Charcuterie Spicy Pork Salami Sticks Cold Smoked Fresh TRSM (Retail Case),58122323 - Charcuterie Spicy Pork Salami Sticks Cold Smoked Fresh TRSM (Retail Case)
Ian McHale,Outbound Station,OUTB01,S2S Squamish,TRSM Delivery - Ground,2024-04-05,396922.0,1528022.0,58122324,TRSM,Charcuterie,"2pc/pk, 2.1lb/cs, 12pk/cs",1.0,Case,1.0,2.66,49.99,Case,49.99,37.49,49.99,0.2500500100020004,"Charcuterie Beer Salami Sticks, Cold Smoked Fresh TRSM (Retail Case)","58122324 - Charcuterie Beer Salami Sticks, Cold Smoked Fresh TRSM (Retail Case)"
Ian McHale,Outbound Station,OUTB01,S2S Squamish,TRSM Delivery - Ground,2024-04-05,396922.0,1528023.0,58122322,TRSM,Charcuterie,"2pc/pk, 2.1lb/cs, 12pk/cs",1.0,Case,1.0,2.7,49.99,Case,49.99,37.49,49.99,0.2500500100020004,Charcuterie Fennel Salami Sticks Cold Smoked Fresh TRSM (Retail Case),58122322 - Charcuterie Fennel Salami Sticks Cold Smoked Fresh TRSM (Retail Case)
Fraser Mittlestead,Friends Of Fraser,FRIE01,TRSM House,Customer Pickup - VAN,2024-04-05,397031.0,1528125.0,58122213,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",1.0,Pack,1.0,1.35,16.0,Pound,21.6,16.1865,21.5865,0.2506250000000001,Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM
Fraser Mittlestead,Super Veloce,SUPE08,Vancouver W,TRSM Delivery - Ground,2024-04-05,397148.0,1528571.0,58122213,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",2.0,Pack,2.0,2.7,16.0,Pound,43.2,32.373,43.173,0.2506250000000001,Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM
Fraser Mittlestead,Super Veloce,SUPE08,Vancouver W,TRSM Delivery - Ground,2024-04-05,397148.0,1528572.0,58122140,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",4.0,Pack,4.0,5.76,16.0,Pound,92.16,69.0624,92.1024,0.250625,"Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM","58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM"
Fraser Mittlestead,Super Veloce,SUPE08,Vancouver W,TRSM Delivery - Ground,2024-04-05,397148.0,1528573.0,58122287,TRSM,Charcuterie,~0.6 -0.8 Lbs pk/ 8pc,4.0,Pack,4.0,3.44,24.25,Pound,83.42,62.5736,83.42,0.24989690721649488,Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM
House House,Natures Fare Langley,NATU04,Langley,TRSM Delivery - Ground,2024-04-05,397149.0,1528593.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,2.86,59.75,Each,59.75,43.16,57.55,0.2776569037656904,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Ian McHale,Bells & Whistles - Fraser St,BELL03,Vancouver E,TRSM Delivery - Ground,2024-04-05,397164.0,1528646.0,58122213,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",1.0,Pack,1.0,1.35,16.0,Pound,21.6,16.1865,21.5865,0.2506250000000001,Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM
Fraser Mittlestead,Cafe Medina,CAFE06,Vancouver W,TRSM Delivery - Ground,2024-04-05,397202.0,1528850.0,58122148,TRSM,Charcuterie,~2 Lbs,4.0,Pound,3.0,5.93,19.0,Pound,112.67,84.4432,112.6107,0.25052631578947365,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Fraser Mittlestead,Cafe Medina,CAFE06,Vancouver W,TRSM Delivery - Ground,2024-04-05,397202.0,1528851.0,58122239,TRSM,Charcuterie,~2-3 Lbs,4.0,Pound,3.0,4.15,19.35,Pound,80.3025,60.2165,80.3025,0.2501291989664082,Charcuterie Lonzino Fresh TRSM,58122239 - Charcuterie Lonzino Fresh TRSM
Fraser Mittlestead,Pourhouse,POUR01,Vancouver E,TRSM Delivery - Ground,2024-04-05,397206.0,1528867.0,58122148,TRSM,Charcuterie,~2 Lbs,1.0,Each,1.0,1.99,19.0,Pound,37.81,28.3376,37.7901,0.25052631578947376,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Fraser Mittlestead,Pourhouse,POUR01,Vancouver E,TRSM Delivery - Ground,2024-04-05,397206.0,1528868.0,58122135,TRSM,Charcuterie,~1lb,1.0,Each,1.0,2.16,28.5,Pound,61.56,46.008,61.344,0.25263157894736843,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Fraser Mittlestead,Azur F&B Division,AZUR01,Vancouver W,TRSM Delivery - Ground,2024-04-05,397215.0,1528907.0,58122113,TRSM,Charcuterie,~1.5 - 2.5 Lbs,1.0,Each,1.0,2.98,20.25,Pound,60.345,45.2662,60.345,0.24987654320987657,Charcuterie Coppa Fresh TRSM,58122113 - Charcuterie Coppa Fresh TRSM
Fraser Mittlestead,Azur F&B Division,AZUR01,Vancouver W,TRSM Delivery - Ground,2024-04-05,397215.0,1528908.0,58122135,TRSM,Charcuterie,~1lb,1.0,Each,1.0,1.87,28.5,Pound,53.295,39.831,53.108,0.2526315789473684,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Fraser Mittlestead,Azur F&B Division,AZUR01,Vancouver W,TRSM Delivery - Ground,2024-04-05,397215.0,1528911.0,58122239,TRSM,Charcuterie,~2-3 Lbs,1.0,Each,1.0,1.58,19.35,Pound,30.573,22.9258,30.573,0.25012919896640834,Charcuterie Lonzino Fresh TRSM,58122239 - Charcuterie Lonzino Fresh TRSM
Fraser Mittlestead,Azur F&B Division,AZUR01,Vancouver W,TRSM Delivery - Ground,2024-04-05,397215.0,1528912.0,58122148,TRSM,Charcuterie,~2 Lbs,1.0,Each,1.0,1.96,19.0,Pound,37.24,27.9104,37.2204,0.25052631578947376,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Jesse Croy,Marzano,MARZ01,Int Nelson,Clark - Ground,2023-01-03,354998.0,1362818.0,58122195,TRSM,Charcuterie,~2pc 2-2.5 Lbs Pck,12.0,Pack,12.0,31.38,14.5,Pound,455.01,321.0174,390.681,0.2944827586206896,Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM,58122195 - Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM
Jesse Croy,Marzano,MARZ01,Int Nelson,Clark - Ground,2023-01-03,354998.0,1362819.0,58122154,TRSM,Charcuterie,~2 Lbs,10.0,Each,10.0,19.86,18.5,Pound,367.41,256.9884,346.7556,0.3005405405405406,Charcuterie Soria Chorizo Salami Fresh TRSM,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM
Jesse Croy,Eagle Pass Heliski,EAGL04,Int Kamloops,Clark - Ground,2023-01-04,354923.0,1362561.0,58122147,TRSM,Charcuterie,~2 Lbs,1.0,Each,1.0,1.89,22.16,Pound,41.8824,31.0716,41.8824,0.2581227436823104,Charcuterie Elk Goteborg Salami Fresh TRSM,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM
Jesse Croy,Eagle Pass Heliski,EAGL04,Int Kamloops,Clark - Ground,2023-01-04,354923.0,1362565.0,58122135,TRSM,Charcuterie,~1lb,1.0,Each,1.0,0.84,28.12,Pound,23.6208,17.514,23.6208,0.2585348506401138,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Ian McHale,Mile One Eating House,MILE01,S2S Pemberton,TRSM Delivery - Ground,2023-01-04,354929.0,1362581.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.04,57.55,Each,57.55,30.46,57.55,0.47072111207645523,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Ian McHale,Mile One Eating House,MILE01,S2S Pemberton,TRSM Delivery - Ground,2023-01-04,354929.0,1362582.0,58122299,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.06,57.55,Each,57.55,35.65,57.55,0.3805386620330148,"Charcuterie Salami, Milano Fresh TRSM (Retail Case)","58122299 - Charcuterie Salami, Milano Fresh TRSM (Retail Case)"
House House,Natures Fare White Rock,NATU08,White Rock,TRSM Delivery - Ground,2023-01-04,354806.0,1362090.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.08,59.75,Each,59.75,30.46,57.55,0.49020920502092047,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Retail Meat Shop,Two Rivers Retail,TWOR03,TRSM House,Customer Pickup - VAN,2023-01-04,354844.0,1362458.0,58122148,TRSM,Charcuterie,~2 Lbs,1.0,Each,1.0,3.75,14.43,Pound,54.1125,47.625,54.1125,0.11988911988911985,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Retail Meat Shop,Two Rivers Retail,TWOR03,TRSM House,Customer Pickup - VAN,2023-01-04,354844.0,1362461.0,58122113,TRSM,Charcuterie,~1.5 - 2.5 Lbs,1.0,Each,1.0,1.25,13.27,Pound,16.5875,14.6,16.5875,0.11981914091936693,Charcuterie Coppa Fresh TRSM,58122113 - Charcuterie Coppa Fresh TRSM
Retail Meat Shop,Two Rivers Retail,TWOR03,TRSM House,Customer Pickup - VAN,2023-01-04,354844.0,1362462.0,58122108,TRSM,Charcuterie,~2.7 Lbs Pck/8 pc,1.0,Pack,1.0,0.9,12.49,Pound,11.241,9.891,11.241,0.12009607686148917,"Charcuterie Chorizo, Cold Smoked Fresh TRSM","58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM"
Retail Meat Shop,Two Rivers Retail,TWOR03,TRSM House,Customer Pickup - VAN,2023-01-04,354844.0,1362463.0,58122154,TRSM,Charcuterie,~2 Lbs,1.0,Each,1.0,3.8,14.7,Pound,55.86,49.172,55.86,0.11972789115646262,Charcuterie Soria Chorizo Salami Fresh TRSM,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM
Retail Meat Shop,Two Rivers Retail,TWOR03,TRSM House,Customer Pickup - VAN,2023-01-04,354844.0,1362464.0,58122295,TRSM,Charcuterie,~2lb/pc,1.0,Pack,1.0,0.7,15.38,Pound,10.766,9.471,10.766,0.12028608582574772,Charcuterie Triple Fennel & Ale Salami Fresh TRSM,58122295 - Charcuterie Triple Fennel & Ale Salami Fresh TRSM
House House,Ruddy Potato,THER06,Greater Vancouver,Customer Pickup - VAN,2023-01-05,355132.0,1363490.0,58122301,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,2.95,57.55,Each,57.55,30.27,57.55,0.4740225890529974,"Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)","58122301 - Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)"
Fraser Mittlestead,Foxy Produce,FOXY01,Vancouver NS,TRSM Delivery - Ground,2023-01-06,355027.0,1364042.0,58122301,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,2.95,57.55,Each,57.55,30.27,57.55,0.4740225890529974,"Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)","58122301 - Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)"
Fraser Mittlestead,Foxy Produce,FOXY01,Vancouver NS,TRSM Delivery - Ground,2023-01-06,355027.0,1364043.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.05,57.55,Each,57.55,30.46,57.55,0.47072111207645523,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
